"customerkey","geographykey","customeralternatekey","title","fullname","birthdate","maritalstatus","gender","yearlyincome","totalchildren","numberchildrenathome","englisheducation","spanisheducation","frencheducation","englishoccupation","numbercarsowned","addressline1","addressline2","phone","datefirstpurchase","commutedistance"
11193,553,"AW00011193",NULL,"Ian Gray","1950-08-13","M","M","60000.00",4,0,"Bachelors","Licenciatura","Bac + 4","Management",2,"5941 Gill Dr.",NULL,"596-555-0190","2022-02-25","2-5 Miles"
23482,314,"AW00023482",NULL,"Zoe Gray","1968-11-19","M","F","110000.00",5,3,"Bachelors","Licenciatura","Bac + 4","Management",0,"3462 Melody",NULL,"614-555-0177","2022-11-26","5-10 Miles"
11000,26,"AW00011000",NULL,"Jon Yang","1971-10-06","M","M","90000.00",2,0,"Bachelors","Licenciatura","Bac + 4","Professional",0,"3761 N. 14th St",NULL,"1 (11) 500 555-0162","2020-01-19","1-2 Miles"
11001,37,"AW00011001",NULL,"Eugene Huang","1976-05-10","S","M","60000.00",3,3,"Bachelors","Licenciatura","Bac + 4","Professional",1,"2243 W St.",NULL,"1 (11) 500 555-0110","2020-01-15","0-1 Miles"
11002,31,"AW00011002",NULL,"Ruben Torres","1971-02-09","M","M","60000.00",3,3,"Bachelors","Licenciatura","Bac + 4","Professional",1,"5844 Linden Land",NULL,"1 (11) 500 555-0184","2020-01-07","2-5 Miles"
11003,11,"AW00011003",NULL,"Christy Zhu","1973-08-14","S","F","70000.00",0,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"1825 Village Pl.",NULL,"1 (11) 500 555-0162","2019-12-29","5-10 Miles"
11004,19,"AW00011004",NULL,"Elizabeth Johnson","1979-08-05","S","F","80000.00",5,5,"Bachelors","Licenciatura","Bac + 4","Professional",4,"7553 Harness Circle",NULL,"1 (11) 500 555-0131","2020-01-23","1-2 Miles"
11005,22,"AW00011005",NULL,"Julio Ruiz","1976-08-01","S","M","70000.00",0,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"7305 Humphrey Drive",NULL,"1 (11) 500 555-0151","2019-12-30","5-10 Miles"
11006,8,"AW00011006",NULL,"Janet Alvarez","1976-12-02","S","F","70000.00",0,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"2612 Berry Dr",NULL,"1 (11) 500 555-0184","2020-01-24","5-10 Miles"
11007,40,"AW00011007",NULL,"Marco Mehta","1969-11-06","M","M","60000.00",3,3,"Bachelors","Licenciatura","Bac + 4","Professional",2,"942 Brook Street",NULL,"1 (11) 500 555-0126","2020-01-09","0-1 Miles"
11008,32,"AW00011008",NULL,"Rob Verhoff","1975-07-04","S","F","60000.00",4,4,"Bachelors","Licenciatura","Bac + 4","Professional",3,"624 Peabody Road",NULL,"1 (11) 500 555-0164","2020-01-25","10+ Miles"
11009,25,"AW00011009",NULL,"Shannon Carlson","1969-09-29","S","M","70000.00",0,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"3839 Northgate Road",NULL,"1 (11) 500 555-0110","2020-01-27","5-10 Miles"
11010,22,"AW00011010",NULL,"Jacquelyn Suarez","1969-08-05","S","F","70000.00",0,0,"Bachelors","Licenciatura","Bac + 4","Professional",1,"7800 Corrinne Court",NULL,"1 (11) 500 555-0169","2020-01-14","5-10 Miles"
11011,22,"AW00011011",NULL,"Curtis Lu","1969-05-03","M","M","60000.00",4,4,"Bachelors","Licenciatura","Bac + 4","Professional",4,"1224 Shoenic",NULL,"1 (11) 500 555-0117","2019-12-30","10+ Miles"
11012,611,"AW00011012",NULL,"Lauren Walker","1979-01-14","M","F","100000.00",2,0,"Bachelors","Licenciatura","Bac + 4","Management",2,"4785 Scott Street",NULL,"717-555-0164","2022-03-16","1-2 Miles"
11013,543,"AW00011013",NULL,"Ian Jenkins","1979-08-03","M","M","100000.00",2,0,"Bachelors","Licenciatura","Bac + 4","Management",3,"7902 Hudson Ave.",NULL,"817-555-0185","2022-04-13","0-1 Miles"
11014,634,"AW00011014",NULL,"Sydney Bennett","1973-11-06","S","F","100000.00",3,0,"Bachelors","Licenciatura","Bac + 4","Management",3,"9011 Tank Drive",NULL,"431-555-0156","2022-03-23","1-2 Miles"
11015,301,"AW00011015",NULL,"Chloe Young","1984-08-26","S","F","30000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"244 Willow Pass Road",NULL,"208-555-0142","2022-01-18","5-10 Miles"
11016,329,"AW00011016",NULL,"Wyatt Hill","1984-10-25","M","M","30000.00",0,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual",1,"9666 Northridge Ct.",NULL,"135-555-0171","2022-02-09","5-10 Miles"
11017,39,"AW00011017",NULL,"Shannon Wang","1949-12-24","S","F","20000.00",4,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"7330 Saddlehill Lane",NULL,"1 (11) 500 555-0195","2020-01-12","5-10 Miles"
11018,32,"AW00011018",NULL,"Clarence Rai","1955-10-06","S","M","30000.00",2,0,"Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical",2,"244 Rivewview",NULL,"1 (11) 500 555-0137","2020-01-17","5-10 Miles"
11019,52,"AW00011019",NULL,"Luke Lal","1983-09-04","S","M","40000.00",0,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"7832 Landing Dr",NULL,"262-555-0112","2022-02-12","5-10 Miles"
11020,53,"AW00011020",NULL,"Jordan King","1984-03-19","S","M","40000.00",0,0,"High School","Educación secundaria","Bac + 2","Skilled Manual",2,"7156 Rose Dr.",NULL,"550-555-0163","2021-12-29","1-2 Miles"
